v1,v2
ham,Hey there! Are we still on for lunch?
spam,Congratulations! You've won a free iPhone. Click here to claim now.
ham,Meeting has been rescheduled to 3 PM.
spam,You have been selected for a $1000 Walmart gift card. Reply YES to claim.
ham,I'll call you back in 10 minutes.
spam,Winner! Claim your $500 prize now by visiting our site.
ham,Don't forget to bring your charger.
spam,Free entry in a weekly draw to win cash. Text WIN to 80085.
ham,Are you attending the conference next week?
spam,Get cheap loans approved instantly. No credit check required.
